"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Araba/Álava","0.98","0.98","0.96","0.96","0.92","0.92","0.95","0.92","0.92","0.90","0.91"
"Bizkaia","2.02","1.94","1.78","1.75","1.72","1.63","1.95","1.71","1.71","1.69","1.67"
"CAE","1.39","1.36","1.30","1.28","1.25","1.20","1.33","1.25","1.24","1.23","1.23"
"Gipuzkoa","1.30","1.29","1.29","1.25","1.23","1.16","1.20","1.23","1.18","1.19","1.20"
