"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","19.88","19.51","19.07","18.54","18.01","17.72","17.32","16.98","16.74","16.64","16.52","16.26","16.28","16.18"
"Bizkaia","21.96","21.65","21.28","20.73","20.39","20.10","19.79","19.49","19.27","19.17","19.07","18.89","18.91","18.83"
"CAE","21.44","21.13","20.75","20.22","19.84","19.54","19.17","18.85","18.62","18.54","18.43","18.23","18.24","18.17"
"Gipuzkoa","21.31","21.01","20.63","20.16","19.78","19.43","18.99","18.65","18.39","18.34","18.21","18.00","17.98","17.93"
