"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","14.88","14.74","14.53","14.33","14.09","13.79","13.46","13.15","12.88","12.65","12.45","12.24","12.13","12.07"
"Bizkaia","13.38","13.38","13.30","13.21","13.06","12.87","12.65","12.42","12.21","12.02","11.80","11.59","11.46","11.38"
"CAE","14.05","14.02","13.93","13.83","13.68","13.47","13.23","12.97","12.75","12.54","12.32","12.12","11.97","11.86"
"Gipuzkoa","14.73","14.71","14.67","14.60","14.49","14.31","14.07","13.79","13.57","13.35","13.12","12.92","12.76","12.57"
