"Entitatea","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","92.83","90.09","91.46","92.19","84.83","86.88","87.00","84.29","84.17"
"Bizkaia","83.06","84.36","84.13","84.81","84.52","86.23","91.67","93.95","93.44"
"CAE","87.44","87.59","87.84","88.79","87.33","89.33","91.49","92.19","91.84"
"Gipuzkoa","92.81","92.18","92.71","94.18","93.83","96.05","93.70","94.14","93.92"
