"Entitatea","2015","2014","2013","2012","2011"
"Araba/Álava","32.40","32.70","33.47","33.91","34.42"
"Bizkaia","25.90","26.03","26.31","26.91","27.85"
"CAE","28.81","28.88","29.25","29.77","30.57"
"Gipuzkoa","31.69","31.57","31.90","32.39","33.13"
