"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","33.18","32.93","33.60","33.09","32.35","32.43","32.70","32.98","32.90","31.83","32.11","32.05","32.31"
"Bizkaia","37.11","36.97","37.06","37.38","37.21","37.68","37.59","37.77","37.63","36.96","37.13","37.41","37.15"
"CAE","36.74","36.63","36.95","37.01","36.68","37.17","37.19","37.32","37.20","36.46","36.62","37.05","36.83"
"Gipuzkoa","37.95","37.95","38.41","38.37","37.99","38.69","38.75","38.72","38.61","37.95","38.05","38.93","38.52"
